 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Física: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";113;131;201;242;240;385;386;546;841;777;889;799;851;6401
"12 Acre";123;345;280;400;453;448;704;822;1035;936;1298;967;900;8711
"13 Amazonas";441;682;1396;1965;2238;1894;2248;2115;2379;2526;3798;2634;2624;26940
"14 Roraima";345;437;376;354;589;597;422;506;712;795;985;691;786;7595
"15 Pará";131;605;1113;1229;1958;1990;2684;2709;2215;2619;4041;4714;4675;30683
"16 Amapá";69;175;143;183;361;278;238;318;409;530;595;291;321;3911
"17 Tocantins";276;446;814;887;1368;1664;1971;1945;2189;2080;1904;1839;1562;18945
"21 Maranhão";96;262;447;1323;1496;1363;1363;1068;1453;1858;2391;2082;2429;17631
"22 Piauí";280;537;838;1037;3076;942;1068;1557;1807;1684;1917;1339;1498;17580
"23 Ceará";266;412;510;1000;1102;1831;2301;2216;2737;4234;6350;5488;5629;34076
"24 Rio Grande do Norte";129;376;728;1053;1528;1500;1583;1677;2017;2061;2585;1788;1972;18997
"25 Paraíba";353;533;853;1900;2021;1619;1895;632;2159;2199;2411;1758;1624;19957
"26 Pernambuco";2186;2698;4250;4695;6556;6891;6514;6513;8202;8754;9813;7702;8608;83382
"27 Alagoas";551;788;1688;2036;2156;2222;2103;2131;3262;2597;2688;2030;2398;26650
"28 Sergipe";19;16;70;171;488;556;518;485;494;670;779;985;1015;6266
"29 Bahia";2101;3227;3426;4232;5994;6295;6946;7481;7961;8847;7867;6455;7679;78511
"31 Minas Gerais";1549;4997;11968;16763;23788;27603;33114;29768;33792;34381;37246;29082;23802;307853
"32 Espírito Santo";30;175;535;903;1580;2239;3004;3977;4216;4900;4661;3227;3699;33146
"33 Rio de Janeiro";764;2713;5415;8176;9623;11433;11063;12886;19790;20041;22571;18618;21311;164404
"35 São Paulo";10325;14366;19252;28970;26305;26069;33307;41688;52957;56546;61494;49049;54887;475215
"41 Paraná";1082;1961;3113;6501;8425;9913;11443;11366;14089;15160;17654;14937;13046;128690
"42 Santa Catarina";571;2703;3713;4988;5378;6437;6781;5730;6446;6471;7989;4821;4204;66232
"43 Rio Grande do Sul";261;3810;6038;7713;7966;8743;9331;9153;11224;11096;11826;7564;6589;101314
"50 Mato Grosso do Sul";1727;2437;3135;3113;3487;4010;3834;3728;4061;4100;4791;4301;4103;46827
"51 Mato Grosso";145;269;573;888;1121;1341;1738;1618;1846;1745;2240;1861;1735;17120
"52 Goiás";812;2241;1547;3153;3484;3353;3708;3309;3643;4412;5893;4714;5613;45882
"53 Distrito Federal";598;592;929;1004;1072;884;777;846;1124;1359;1722;1699;1757;14363
"Total";25343;47934;73351;104879;123853;132500;151044;156790;193060;203378;228398;181435;185317;1807282
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
