 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Psico/moral: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";18;31;53;68;101;171;156;201;260;221;201;206;207;1894
"12 Acre";123;177;267;278;236;199;304;274;276;263;266;314;232;3209
"13 Amazonas";498;777;791;1379;2415;1368;1174;775;835;918;1069;648;859;13506
"14 Roraima";47;59;91;101;147;133;111;114;172;219;301;296;258;2049
"15 Pará";157;698;858;1136;1445;1805;2721;2928;1470;2128;3379;6199;5487;30411
"16 Amapá";33;19;17;41;63;54;64;113;207;225;205;126;165;1332
"17 Tocantins";112;184;273;298;466;789;801;627;571;391;369;365;236;5482
"21 Maranhão";64;147;243;259;671;775;1011;709;748;1043;1153;936;994;8753
"22 Piauí";171;107;220;298;469;306;321;574;682;436;610;410;520;5124
"23 Ceará";153;226;258;508;495;647;910;1065;1098;2738;4125;2918;2520;17661
"24 Rio Grande do Norte";31;107;197;218;355;317;429;526;685;658;705;608;656;5492
"25 Paraíba";202;238;368;714;928;762;703;366;664;637;962;541;681;7766
"26 Pernambuco";406;1519;1910;2173;2405;2282;2858;2796;3148;3267;4057;3088;4461;34370
"27 Alagoas";19;36;89;103;175;270;378;424;702;652;621;502;510;4481
"28 Sergipe";44;24;126;153;272;228;201;72;100;123;97;125;153;1718
"29 Bahia";234;775;1111;1419;2015;2048;2004;2129;2542;3104;3481;2431;2685;25978
"31 Minas Gerais";499;1403;3677;5034;8088;10204;12627;12134;13679;12566;13626;9761;7561;110859
"32 Espírito Santo";24;128;346;482;747;839;1011;1334;1448;1815;1612;999;1337;12122
"33 Rio de Janeiro";234;1259;2461;3646;4180;6024;5214;5171;8459;8337;8033;7356;8994;69368
"35 São Paulo";4418;5039;6238;10150;9625;8635;11716;15684;19278;17723;18968;14872;19437;161783
"41 Paraná";682;966;1913;3711;5347;5823;6167;5222;5924;7294;8525;7249;7416;66239
"42 Santa Catarina";274;1022;1873;2126;1607;1930;2875;2549;2659;2178;2329;1720;1232;24374
"43 Rio Grande do Sul";309;1697;3299;5117;5206;5823;5977;5922;6900;3937;3427;2682;2123;52419
"50 Mato Grosso do Sul";691;1021;1116;1237;1162;1193;1056;1063;1054;1074;1165;1195;988;14015
"51 Mato Grosso";85;118;297;423;557;536;676;762;662;647;811;825;702;7101
"52 Goiás";257;510;440;795;1088;966;1270;966;1124;1308;1785;1622;2288;14419
"53 Distrito Federal";303;321;394;646;593;444;335;463;639;637;745;748;779;7047
"Total";10088;18608;28926;42513;50858;54571;63070;64963;75986;74539;82627;68742;73481;708972
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
