 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Sexual: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";44;62;57;78;92;138;219;251;299;247;200;209;203;2099
"12 Acre";114;125;315;417;563;604;682;705;795;683;460;415;545;6423
"13 Amazonas";618;760;1011;1320;1612;1596;1290;1286;1697;1746;1663;1172;1731;17502
"14 Roraima";78;69;151;149;196;181;184;211;183;207;313;260;308;2490
"15 Pará";231;1087;1218;1524;1650;1647;1709;1833;1563;1873;2488;2337;2890;22050
"16 Amapá";37;54;120;84;106;89;69;138;120;160;190;113;236;1516
"17 Tocantins";73;89;135;173;402;661;568;648;760;823;804;713;599;6448
"21 Maranhão";98;228;316;290;339;255;322;317;434;553;708;748;844;5452
"22 Piauí";24;46;90;227;602;521;642;677;725;609;701;554;898;6316
"23 Ceará";83;88;103;158;177;466;383;591;721;925;1258;1259;1689;7901
"24 Rio Grande do Norte";89;107;106;152;151;172;148;156;219;325;400;303;352;2680
"25 Paraíba";82;113;157;300;369;306;315;135;351;350;453;312;369;3612
"26 Pernambuco";477;646;1021;1085;1366;1566;1460;1556;1870;2277;2192;1904;2387;19807
"27 Alagoas";57;63;130;138;147;233;205;265;432;415;723;795;1076;4679
"28 Sergipe";118;57;359;388;418;335;288;147;222;275;304;291;322;3524
"29 Bahia";148;378;504;623;1008;1270;1141;1291;1267;1486;1249;922;1390;12677
"31 Minas Gerais";744;1108;1644;2169;2742;3116;3211;3270;3924;4164;4417;3761;3983;38253
"32 Espírito Santo";26;28;168;388;426;539;638;681;861;1000;1191;988;1192;8126
"33 Rio de Janeiro";241;712;1031;1579;1875;1925;1642;2069;2685;3242;3804;3416;3785;28006
"35 São Paulo";2908;3375;3747;4372;4184;4150;4626;6187;7795;8471;8858;7751;9806;76230
"41 Paraná";581;776;1035;1732;2128;2323;2460;2692;3195;3884;4253;3485;3510;32054
"42 Santa Catarina";219;412;663;880;1032;1088;1049;1176;1371;1479;1787;1654;1775;14585
"43 Rio Grande do Sul";475;1113;1519;1846;1915;1937;1922;1905;2378;2868;3234;2504;2811;26427
"50 Mato Grosso do Sul";252;379;371;496;537;534;434;445;488;555;655;537;542;6225
"51 Mato Grosso";50;72;392;306;342;411;495;534;519;560;676;661;641;5659
"52 Goiás";168;488;329;586;826;796;998;1020;1056;1185;1367;1151;1836;11806
"53 Distrito Federal";423;484;484;867;1076;832;720;936;1449;1623;1530;1386;1271;13081
"Total";8458;12919;17176;22327;26281;27691;27820;31122;37379;41985;45878;39601;46991;385628
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
