 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Viol Tortura: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";2;2;12;11;18;35;29;32;84;38;33;42;35;373
"12 Acre";10;28;21;36;55;59;100;89;228;70;64;53;49;862
"13 Amazonas";41;41;94;119;149;105;91;86;85;127;147;95;140;1320
"14 Roraima";9;13;26;44;47;44;31;28;52;42;52;32;42;462
"15 Pará";68;140;101;77;143;209;147;174;159;158;245;203;310;2134
"16 Amapá";5;7;3;7;15;13;15;23;24;27;18;9;26;192
"17 Tocantins";10;52;45;53;66;138;132;112;107;92;68;60;61;996
"21 Maranhão";5;17;42;51;82;48;77;130;179;183;166;194;182;1356
"22 Piauí";11;27;60;78;116;94;79;130;238;111;213;145;125;1427
"23 Ceará";36;25;38;47;70;76;87;152;180;270;268;252;269;1770
"24 Rio Grande do Norte";11;23;50;43;68;74;70;69;86;101;113;56;97;861
"25 Paraíba";29;43;42;144;139;110;99;60;102;92;116;84;107;1167
"26 Pernambuco";41;99;140;163;139;166;206;270;393;303;403;301;351;2975
"27 Alagoas";4;1;16;19;33;56;63;64;155;91;105;74;58;739
"28 Sergipe";-;-;6;5;20;15;18;10;10;16;9;19;27;155
"29 Bahia";48;80;90;120;208;247;289;300;411;427;483;417;372;3492
"31 Minas Gerais";67;167;367;568;885;1057;1363;1299;1524;1374;1362;1069;984;12086
"32 Espírito Santo";3;14;54;61;56;68;92;150;246;128;185;109;127;1293
"33 Rio de Janeiro";28;115;230;399;475;336;319;305;468;400;548;461;556;4640
"35 São Paulo";284;383;487;744;769;815;1041;1571;1950;1792;1850;1440;1826;14952
"41 Paraná";44;98;232;314;377;392;467;487;649;587;576;627;549;5399
"42 Santa Catarina";39;122;329;365;209;251;518;252;486;276;325;222;139;3533
"43 Rio Grande do Sul";17;122;322;581;454;415;373;383;458;183;149;157;29;3643
"50 Mato Grosso do Sul";80;104;134;157;158;134;107;135;127;102;141;153;146;1678
"51 Mato Grosso";20;26;79;72;84;111;135;110;113;150;146;160;94;1300
"52 Goiás";74;146;83;166;248;174;228;183;212;281;296;315;356;2762
"53 Distrito Federal";53;62;72;83;67;72;36;58;96;88;64;62;97;910
"Total";1039;1957;3175;4527;5150;5314;6212;6662;8822;7509;8145;6811;7154;72477
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
