 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil
Freqüência por UF de notificação e Ano da Notific
Outra Violencia: Sim
Período:2009-2021
"UF de notificação";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";1;2;6;2;8;9;55;73;173;334;386;261;242;1552
"12 Acre";-;3;9;5;16;26;119;165;241;278;61;116;113;1152
"13 Amazonas";80;46;70;27;47;45;92;60;72;161;237;233;382;1552
"14 Roraima";6;10;6;10;9;3;99;141;172;280;528;288;246;1798
"15 Pará";-;22;16;10;10;95;99;76;128;168;388;213;697;1922
"16 Amapá";26;10;-;1;27;5;5;9;24;59;65;10;53;294
"17 Tocantins";86;168;64;128;285;316;389;448;459;865;1004;736;744;5692
"21 Maranhão";1;12;21;96;35;51;68;64;62;229;851;564;503;2557
"22 Piauí";101;33;91;191;246;246;440;729;570;842;1245;659;1105;6498
"23 Ceará";73;91;20;35;69;155;376;566;726;1126;1810;1637;2094;8778
"24 Rio Grande do Norte";5;8;28;36;67;57;89;120;250;535;734;680;787;3396
"25 Paraíba";11;31;240;61;72;104;242;170;331;477;982;979;1023;4723
"26 Pernambuco";33;77;199;203;296;470;598;737;1602;2892;3970;3044;3365;17486
"27 Alagoas";448;462;500;491;662;625;616;488;708;1373;2015;1475;1602;11465
"28 Sergipe";-;1;3;6;27;9;17;16;60;170;388;412;412;1521
"29 Bahia";22;98;91;69;114;125;212;201;359;649;585;357;755;3637
"31 Minas Gerais";35;235;836;2041;2665;3186;3957;3669;4994;7508;8291;6682;6032;50131
"32 Espírito Santo";1;22;89;183;344;803;910;1223;1611;2809;3684;2677;3045;17401
"33 Rio de Janeiro";73;163;348;363;2111;1895;1592;1604;2961;4484;5460;4515;5284;30853
"35 São Paulo";833;1377;2389;3280;2994;3016;4380;6139;10043;14669;19249;15552;20238;104159
"41 Paraná";164;169;420;873;1026;1173;2295;2734;4968;7336;8503;6488;7063;43212
"42 Santa Catarina";66;164;469;715;1029;959;1587;1901;2754;3969;5052;5147;5187;28999
"43 Rio Grande do Sul";5;363;1309;1893;1723;1805;2143;2142;4061;7033;10517;7966;7281;48241
"50 Mato Grosso do Sul";330;489;667;571;625;661;788;909;1400;1682;2829;2287;1986;15224
"51 Mato Grosso";2;11;34;112;112;63;106;83;258;381;620;531;467;2780
"52 Goiás";24;61;28;82;227;365;475;630;879;1388;2313;1995;2687;11154
"53 Distrito Federal";37;32;83;118;149;99;299;481;894;1632;3025;3016;3542;13407
"Total";2463;4160;8036;11602;14995;16366;22048;25578;40760;63329;84792;68520;76935;439584
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Dados referentes ao estado do Espírito Santo, a partir de dezembro de 2019, são oriundos do Sistema de Informação
 estadual e-SUS VS.
 Dados de 2009 a 2014 atualizados em 15/05/2018.
 Dados de 2015 e 2016 atualizados em 08/11/2018.
 Dados de 2017 atualizados em 17/04/2019.
 Dados de 2018 atualizados em 24/06/2020.
 Dados de 2019 atualizados em 18/03/2021.
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.
 Dados de 2021 atualizados em 19/10/2023.
 Dados de 2022 atualizados em 01/11/2024.
 Dados de 2023 atualizados em 07/03/2025.
 Dados de 2024 atualizados em 03/01/2025, dados sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
